risk	disease	IVs	P_random	eff_random	AIC_random	P_fixed	eff_fixed	AIC_fixed
bmi	cad	102	8.42669827674353e-10	0.31922194090839	-563.177731909823	1.86799262383142e-12	0.319221945495521	-565.177731923889
alcohol	t2d	43	0.420174370264351	0.110141727688261	-191.200747187795	0.420174370223803	0.110141719205906	-193.200747187889
ldl	t2d	180	8.59107050964857e-05	-0.146617252551254	-791.078576587845	5.26193562200939e-06	-0.151026530803369	-792.839179881963
sbp	stroke	1313	2.23635221667041e-61	0.0267559445064136	-7213.78894059409	1.19506659551247e-76	0.0274092114270336	-7201.45370765526
smoking	asthma	110	0.647677061166218	0.0669963946525004	-563.284231120625	0.647677060650909	0.0669963762028528	-565.284231120491
alcohol	asthma	41	0.639535575425321	-0.0688507568361648	-217.147883196479	0.599793638868334	-0.0736644367509694	-219.104768062232
smoking	t2d	113	0.148492721839887	0.232237986045289	-547.152595225218	0.14849272180399	0.232238012583889	-549.152595226995
dbp	t2d	1168	0.00439677129662407	0.0117730950845979	-5250.62796795611	0.00467054994403311	0.0115478307720663	-5252.10290952237
dbp	asthma	1116	0.462118071988156	-0.00263525888346355	-5628.97234265981	0.415806693308102	-0.00286829101594135	-5629.07706114195
bw	asthma	51	0.326743076852095	0.0794004014062243	-259.076653136143	0.297532125920802	0.0811666279916566	-261.067898827694
ldl	cad	188	1.15359617646026e-22	0.407977518259479	-851.831728075316	1.824182293384e-48	0.402902479958332	-832.69900868023
hdl	cad	209	1.42840402911537e-09	-0.213481520454208	-999.052544750262	2.81660386747935e-11	-0.156700308170533	-979.914354017099
tg	cad	134	8.56006280585371e-13	0.316062715171873	-665.352504416829	1.69138723614902e-16	0.27657018025793	-650.00973137138
alcohol	cad	54	0.380747320038983	0.103524360227612	-288.434767342989	7.54626747488357e-05	0.296845040770543	-288.158136822396
dbp	cad	1409	1.69661434487474e-83	0.0508138455859723	-7719.25537816105	1.12858646393831e-111	0.0526452715150349	-7657.77049109355
bw	t2d	54	0.00195403734621783	-0.515938992649916	-201.090373073877	0.000542498262770138	-0.46924588021352	-203.612801754356
alcohol	stroke	53	0.453568543845176	0.0605210044281328	-300.804477417317	0.453568543845176	0.0605210044281328	-302.804477417317
smoking	cad	125	1.88748827332578e-09	0.574255325918972	-753.930499385874	4.90595945309693e-11	0.574255323653103	-755.930499385748
bw	stroke	56	0.131409491837463	-0.109041538192719	-296.491101103105	0.116010978950314	-0.106358139161176	-297.68676056734
smoking	stroke	125	0.0022381689844195	0.296361065556501	-738.618552187867	0.00177324883340053	0.296361018054423	-740.618552187875
bw	cad	58	0.130187671418927	-0.0911769577685509	-299.401615745701	0.140214077158386	-0.0861337120304553	-300.498693289235
sbp	cad	1334	1.19202600378883e-107	0.035546696493163	-7317.52710905693	1.04075268187759e-140	0.0353614112578288	-7282.59296338586
dbp	stroke	1363	1.44191861898034e-58	0.0427209550505627	-7485.20957618349	1.56593456157489e-73	0.0441576567641168	-7470.37274074091
height	asthma	5244	0.0191492485750632	-0.0361680814722973	-26610.2421475879	0.0227280090455347	-0.0341605977941569	-26608.0424495885
height	t2d	5358	0.499339581956117	-0.0113950385743415	-25828.4388298652	0.53137532109547	-0.0100987755234806	-25812.9040444029
height	stroke	5357	1.57881122216517e-05	-0.0478825313214571	-30513.9363426413	1.1753616862459e-05	-0.0472886739023178	-30509.4184403332
height	cad	5377	3.87406736886656e-29	-0.111996955450651	-31846.7450595038	3.74722125001843e-30	-0.107721750670481	-31830.3086597473
